Article_Title,Date,Link
Ellie Suriaty Akhirnya Ambil Vaksin Demi Patuh Pada Suami,2022-01-12,https://www.therakyatpost.com/trpbm/hiburan/2022/01/12/ellie-suriaty-akhirnya-ambil-vaksin-demi-patuh-pada-suami/
Ini Cara Mudah Untuk Dapatkan Dos Penggalak Vaksin,2021-12-31,https://www.therakyatpost.com/trpbm/berita/2021/12/31/ini-cara-mudah-untuk-dapatkan-dos-penggalak-vaksin/
Ini Senarai Lokasi Untuk Anda Terima Vaksin Secara Walk-In Di Sekitar KL & Selangor,2021-12-30,https://www.therakyatpost.com/trpbm/berita/2021/12/30/ini-senarai-lokasi-untuk-anda-terima-vaksin-secara-walk-in-di-sekitar-kl-selangor/
Dos Penggalak Pfizer & Astrazeneca Dipendek Iaitu Selepas 3 Bulan Vaksin Primer,2021-12-29,https://www.therakyatpost.com/trpbm/berita/2021/12/29/dos-penggalak-pfizer-astrazeneca-dipendek-iaitu-selepas-3-bulan-vaksin-primer/
Penerima Sinovac Digesa Ambil Dos Penggalak Untuk Kekal Status ‘Vaksinasi Penuh’ – KJ,2021-12-16,https://www.therakyatpost.com/trpbm/berita/2021/12/16/penerima-sinovac-digesa-ambil-dos-penggalak-untuk-kekal-status-vaksinasi-penuh-kj/
[Video] Guru Tak Ambil Vaksin Kesal Diasingkan Dalam Bilik Stor Beratap Zink,2021-11-23,https://www.therakyatpost.com/trpbm/viral/2021/11/23/video-guru-tak-ambil-vaksin-kesal-diasingkan-dalam-bilik-stor-beratap-zink/
Kajian Buktikan Keberkesanan Ambil Vaksin Campuran Untuk Dos Penggalak,2021-11-22,https://www.therakyatpost.com/trpbm/berita/2021/11/22/kajian-buktikan-keberkesanan-ambil-vaksin-campuran-untuk-dos-penggalak/
Singapura Buka Pintu Sempadan Buat Rakyat Malaysia Lengkap Vaksin Bermula 29 November,2021-11-09,https://www.therakyatpost.com/trpbm/berita/2021/11/09/singapura-buka-pintu-sempadan-buat-rakyat-malaysia-lengkap-vaksin-bermula-29-november/
Tiada Kematian Dikaitkan Dengan Vaksin Covid-19 – KKM,2021-11-02,https://www.therakyatpost.com/trpbm/berita/2021/11/02/tiada-kematian-dikaitkan-dengan-vaksin-covid-19-kkm/
Vaksin Pfizer Untuk Kanak-kanak 5 Hingga 12 Tahun – KJ,2021-10-29,https://www.therakyatpost.com/trpbm/berita/2021/10/29/vaksin-pfizer-untuk-kanak-kanak-5-hingga-12-tahun-kj/
Dah Divaksin Di Luar Negara? Sijil Digital Boleh Dapat Kat MySejahtera,2021-10-27,https://www.therakyatpost.com/trpbm/berita/2021/10/27/dah-divaksin-di-luar-negara-sijil-digital-boleh-dapat-kat-mysejahtera/
Malaysia Bakal Lakukan Kajian Klinikal Vaksin Sinovac Kepada Kanak-kanak Bawah 12 Tahun,2021-10-27,https://www.therakyatpost.com/trpbm/berita/2021/10/27/malaysia-bakal-lakukan-kajian-klinikal-vaksin-sinovac-kepada-kanak-kanak-bawah-12-tahun/
"Anti-Vaksin Tuduh KJ Bela Jin, Siap Nak Bacakan Qunut Nazilah",2021-10-18,https://www.therakyatpost.com/trpbm/berita/2021/10/18/anti-vaksin-tuduh-kj-bela-jin-siap-nak-bacakan-qunut-nazilah/
KKM Buat Laporan Polis Terhadap Golongan Anti-Vaksin ‘Annoying’ – KJ,2021-10-15,https://www.therakyatpost.com/trpbm/berita/2021/10/15/kkm-buat-laporan-polis-terhadap-golongan-anti-vaksin-annoying-kj/
Jangan Sesekali Guna Kad Vaksinasi Palsu Untuk Balik Kampung!,2021-10-11,https://www.therakyatpost.com/trpbm/berita/2021/10/11/jangan-sesekali-guna-kad-vaksinasi-palsu-untuk-balik-kampung/
Sijil Vaksinasi Covid-19 Kini Boleh Dimuat Turun & Dicetak,2021-10-11,https://www.therakyatpost.com/trpbm/berita/2021/10/11/sijil-vaksinasi-covid-19-kini-boleh-dimuat-turun-dicetak/
Dos Ketiga Vaksin Covid-19 Akan Diberi Bermula Minggu Ini – KJ,2021-10-11,https://www.therakyatpost.com/trpbm/berita/2021/10/11/dos-ketiga-vaksin-covid-19-akan-diberi-bermula-minggu-ini-kj/
Guru Akan Terima Tindakan Disiplin Jika Tak Divaksin Sebelum 1 November,2021-10-06,https://www.therakyatpost.com/trpbm/berita/2021/10/06/guru-akan-terima-tindakan-disiplin-jika-tak-divaksin-sebelum-1-november/
Tak Boleh Divaksin? Anda Boleh Mohon Sijil Khas Di MySejahtera – KJ,2021-10-04,https://www.therakyatpost.com/trpbm/berita/2021/10/04/tak-boleh-divaksin-anda-boleh-mohon-sijil-khas-di-mysejahtera-kj/
Fasa 3: Belum Vaksin Pun Boleh Dine-In? KJ Beri Penjelasan,2021-10-01,https://www.therakyatpost.com/trpbm/viral/2021/10/01/fasa-3-belum-vaksin-pun-boleh-dine-in/
"Nak Teman Isteri Bersalin? Boleh, Tapi Suami Kena Lengkap Vaksin",2021-10-01,https://www.therakyatpost.com/trpbm/berita/2021/10/01/nak-teman-isteri-bersalin-boleh-tapi-suami-kena-lengkap-vaksin-kj/
85.1% Populasi Dewasa Lengkap Vaksin Setakat 28 September,2021-09-29,https://www.therakyatpost.com/trpbm/berita/2021/09/29/85-1-populasi-dewasa-lengkap-vaksin-setakat-28-september/
"Otw Pulang Hantar Adik Ambil Vaksin, Abang Maut Tercampak Dari Highway",2021-09-27,https://www.therakyatpost.com/trpbm/berita/2021/09/27/otw-pulang-hantar-adik-ambil-vaksin-abang-maut-tercampak-dari-highway/
"10 Tahun Berkhidmat, Wanita Ini Diberhentikan Kerja Gara-gara Belum Vaksin",2021-09-27,https://www.therakyatpost.com/trpbm/viral/2021/09/27/10-tahun-berkhidmat-wanita-ini-diberhentikan-kerja-gara-gara-belum-vaksin/
Rentas Negeri Dibenarkan Lepas Capai 90% Vaksinasi Dewasa – PM,2021-09-23,https://www.therakyatpost.com/trpbm/berita/2021/09/23/rentas-negeri-dibenarkan-lepas-capai-90-vaksinasi-dewasa-pm/
JAIS Beri Senarai Nama Individu Tolak Vaksin Covid-19 Kepada Sultan Selangor,2021-09-22,https://www.therakyatpost.com/trpbm/berita/2021/09/22/jais-beri-senarai-nama-individu-tolak-vaksin-covid-19-kepada-sultan-selangor/
Vaksin Jenis Pfizer Selamat Untuk Kanak-kanak 5 Hingga 11 Tahun,2021-09-21,https://www.therakyatpost.com/trpbm/berita/2021/09/21/vaksin-jenis-pfizer-selamat-untuk-kanak-kanak-5-hingga-11-tahun/
Kerajaan Setuju Beri Dos Ketiga Vaksin & Dijangka Mula Awal Oktober 2021,2021-09-20,https://www.therakyatpost.com/trpbm/berita/2021/09/20/kerajaan-setuju-beri-dos-ketiga-vaksin-dijangka-mula-awal-oktober-2021/
Pelajar Universiti Lengkap Vaksinasi Akan Kembali Ke Kampus Bermula 15 Oktober,2021-09-14,https://www.therakyatpost.com/trpbm/berita/2021/09/14/pelajar-universiti-lengkap-vaksinasi-akan-kembali-ke-kampus-bermula-15-oktober/
"Isu Tiada Sijil Digital Vaksin Covid-19, Team MySejahtera Diberi Seminggu Untuk Selesaikan",2021-09-10,https://www.therakyatpost.com/trpbm/berita/2021/09/10/isu-tiada-sijil-digital-vaksin-covid-19-team-mysejahtera-diberi-seminggu-untuk-selesaikan/
"Suri Rumah Rugi RM12,000 Lepas Didenda Akibat Sebar Berita Fake Tentang Vaksin",2021-09-07,https://www.therakyatpost.com/trpbm/berita/2021/09/07/suri-rumah-rugi-rm12000-lepas-didenda-akibat-sebar-berita-fake-tentang-vaksin/
MAFE Rayu Kerajaan Buka Pawagan Bagi Mereka Yang Lengkap Vaksin Covid-19,2021-09-03,https://www.therakyatpost.com/trpbm/berita/2021/09/03/mafe-rayu-kerajaan-buka-pawagan-bagi-mereka-yang-lengkap-vaksin-covid-19/
Aplikasi MySejahtera Ditambah Baik Dengan Paparan Status Vaksinasi & Risiko – KJ,2021-09-03,https://www.therakyatpost.com/trpbm/berita/2021/09/03/aplikasi-mysejahtera-ditambah-baik-dengan-paparan-status-vaksinasi-risiko-kj/
Kuasa Wajibkan Vaksin Pekerja Di Tangan Majikan,2021-09-02,https://www.therakyatpost.com/trpbm/berita/2021/09/02/kuasa-wajibkan-vaksin-pekerja-di-tangan-majikan/
Vaksin Untuk Kanak-kanak Berumur 12 Tahun Masih Dalam Kajian & Belum Ditetapkan,2021-09-02,https://www.therakyatpost.com/trpbm/berita/2021/09/02/vaksin-untuk-kanak-kanak-berumur-12-tahun-masih-dalam-kajian-belum-ditetapkan/
"15 Juta Populasi Dewasa Telah Lengkap Dua Dos Vaksin Covid-19. Well Done, Malaysia!",2021-09-01,https://www.therakyatpost.com/trpbm/berita/2021/09/01/15-juta-populasi-dewasa-telah-lengkap-dua-dos-vaksin-covid-19-well-done-malaysia/
"Halang Isteri Ambil Vaksin, Suami Sanggup Lafaz Taklik",2021-08-30,https://www.therakyatpost.com/trpbm/berita/2021/08/30/halang-isteri-ambil-vaksin-suami-sanggup-lafaz-taklik/
[Video] KJ Beri Salam Lepas Pegawai PPV Halang Rekod Ketika Divaksin. Habislah…,2021-08-27,https://www.therakyatpost.com/trpbm/viral/2021/08/27/video-nurse-beri-izin-rekod-video-ketika-vaksin-pegawai-di-ppv-johor-datang-terus-tutup-kamera/
Vaksin Dos Ketiga Tak Akan Bantu Penularan Varian Delta – Dr Noor Hisham,2021-08-26,https://www.therakyatpost.com/trpbm/berita/2021/08/26/vaksin-dos-ketiga-tak-akan-bantu-penularan-varian-delta-dr-noor-hisham/
Selangor Sedia Beri Vaksin Dos Ketiga (Jika Perlu),2021-08-25,https://www.therakyatpost.com/trpbm/berita/2021/08/25/selangor-sedia-beri-vaksin-dos-ketiga-jika-perlu/
Pasangan Tak Lengkap Vaksin Buat ‘Social Experiment’ Kini Ditahan Polis,2021-08-24,https://www.therakyatpost.com/trpbm/viral/2021/08/24/pasangan-tak-lengkap-vaksin-buat-social-experiment-kini-ditahan-polis/
Anggota TDM Tolak Vaksin Diberhentikan & Bakal Hilang Pencen,2021-08-24,https://www.therakyatpost.com/trpbm/viral/2021/08/24/anggota-tdm-tolak-vaksin-diberhentikan-bakal-hilang-pencen/
"Pasangan Buat ‘Social Experiment’ Dine-In, Potong Rambut Tanpa Vaksin Lengkap",2021-08-23,https://www.therakyatpost.com/trpbm/viral/2021/08/23/pasangan-buat-social-experiment-dine-in-potong-rambut-tanpa-vaksin-lengkap/
TMJ Ingin Jumpa 779 Guru Di Johor Yang Tolak Vaksin Covid-19,2021-08-23,https://www.therakyatpost.com/trpbm/viral/2021/08/23/tmj-ingin-jumpa-779-guru-di-johor-yang-tolak-vaksin-covid-19/
Pemandu Ambulans Maut Kemalangan Ketika Dalam Perjalanan Ambil Bekalan Vaksin,2021-08-19,https://www.therakyatpost.com/trpbm/berita/2021/08/19/pemandu-ambulans-maut-kemalangan-ketika-dalam-perjalanan-ambil-bekalan-vaksin/
[Terkini] PICK Akan Mula Beri Vaksin Kepada Kanak-kanak Berumur 12 Hingga 17 Tahun – KJ,2021-08-13,https://www.therakyatpost.com/trpbm/berita/2021/08/13/terkini-pick-akan-mula-beri-vaksin-kepada-kanak-kanak-berumur-12-hingga-17-tahun-kj/
Pesakit Kanser Tahap Dua Nekad Ambil Suntikan Vaksin Covid-19,2021-08-12,https://www.therakyatpost.com/trpbm/berita/2021/08/12/pesakit-kanser-tahap-dua-nekad-ambil-suntikan-vaksin-covid-19/
Rakyat Kelantan Terima Vaksin Di Istana,2021-08-02,https://www.therakyatpost.com/trpbm/berita/2021/08/02/rakyat-kelantan-terima-vaksin-di-istana/
Airasia Lancar PPV Di RedQ Bagi Mempercepat Vaksinasi Buat Kakitangan,2021-07-30,https://www.therakyatpost.com/trpbm/siaran-akhbar/2021/07/30/airasia-lancar-ppv-di-redq-bagi-mempercepat-vaksinasi-buat-kakitangan/
No More Vaksin Kosong: Ini 3 Perkara Anda Perlu Perhatikan Ketika Disuntik,2021-07-28,https://www.therakyatpost.com/trpbm/viral/2021/07/28/no-more-vaksin-kosong-ini-3-perkara-anda-perlu-perhatikan-ketika-disuntik/
